text,actual,predicted,error_type
" thx! i became IBM Master Inventor in 2008. really enjoyed your blog, particularly with the vegan tag",positive,neutral,positive -> neutral
4am. And Im on the beach. Pretty,positive,neutral,positive -> neutral
Sleeeeeeeepy.... I`m off... Goodnight twitterverse!,neutral,positive,neutral -> positive
Just got an IM from another co-worker who just got laid off. Lots of people becoming unemployed,negative,neutral,negative -> neutral
" Awwww...thanks!! ;) Unfortunately, everything closes at 4pm in Sweden on a friday. Presentation is 9am Monday.",neutral,negative,neutral -> negative
 serio barroca?? parabens!!!!!!! May the 4th be with you!,positive,neutral,positive -> neutral
" Thanks! Am trying.. (keeping my chin up, ouch!)",neutral,positive,neutral -> positive
 lmao!!! ummm duh gurl I need to buy me some more v-necks I like em!!!,neutral,positive,neutral -> positive
"What I would have done with legless stillborn spaniels, no idea. BUT I WAS SAD, so now, 20yrs later, strawberries = dead puppies.",negative,neutral,negative -> neutral
"Just got home from morongo.. Havin a corona  Won 100 bucks woo! Lol I wish it woulda been 100,000 instead :-/",neutral,positive,neutral -> positive
" Ugh, frustrating. I see a few briefs a week with groups in them, mostly from traditional agencies.",negative,neutral,negative -> neutral
wish i was home in time for the #jonaswebcast today,positive,neutral,positive -> neutral
    Ive been dying for those!! They just so expensive in little sizes.,neutral,negative,neutral -> negative
 whoa... if the alcohol won`t get you buzzed... the price will,negative,neutral,negative -> neutral
This is scary  they hooked me up to 9 wires n it printed sum graph ohhhhhh,negative,neutral,negative -> neutral
"Bored and kinda lonely, my parents went up to the lake. I didn`t have a friend to bring up so i knew i was bored and didn`t go.",neutral,negative,neutral -> negative
Enjoying d view @ sg flyer,positive,neutral,positive -> neutral
LIVE FROM NEW YORK ITS SATURDAY NIGHT!  finally a new one,neutral,positive,neutral -> positive
Woke up late & trying to get **** done before work,negative,neutral,negative -> neutral
" I`m not going on the cruise. Wish I was, but I`m just going on vacation. Thanks though",positive,neutral,positive -> neutral
 so cool! if only i could call! my phone won`t let me calll the number!,positive,negative,positive -> negative
"has her mind abuzz re: advertising industry + standards : don`t hate me because I like maths, ok?",neutral,negative,neutral -> negative
i just saw a pony that used to live in front of my house again. he`s developed cushing`s disease tho,negative,neutral,negative -> neutral
 I was just about to put in '@' and then my username.. Wow.,positive,neutral,positive -> neutral
_Butler I think/hope they might put an age limit on next year on the back of that  #bgt,positive,neutral,positive -> neutral
 Yeah it sucks i tried to ask a Q 2. But they never answered.  But i loved it when joe hugged nick.,neutral,negative,neutral -> negative
Wishing the rain would stay away for a while so that I can go to the pool,positive,neutral,positive -> neutral
 voting for you Hope you are voting for me I am now a white blank with my name  mr Twitter and Funniset,positive,neutral,positive -> neutral
 Isn`t MSN in this case a lot easier? Hahaha!,positive,neutral,positive -> neutral
 haha... sorry  she should be in the whole like two people  follows,negative,neutral,negative -> neutral
"_ I hope filming is going well  I`m new to the whole 'Twilight phenomenon', they couldn`t have picked a better 'vampire'!",neutral,positive,neutral -> positive
I was feeling guilty about buying a luxurious pair of shoes yesterday until my house mate just saw them and got over excited,neutral,negative,neutral -> negative
Here`s  and  at our evening drink on Thursday night in London.  http://twitpic.com/4wrrp,neutral,positive,neutral -> positive
"So, I picked up Chris Botti`s~Live in Boston CD, listening while driving home tonight under the moon. Didn`t want it to end.",positive,neutral,positive -> neutral
" I tried TD, but it battled with CS3 over my processor. Nambu is really good, but unintuitive",neutral,positive,neutral -> positive
 I KNOW! I love Nicholas Braun & I think he`ll make an okay Cameron but I don`t wanna see it either,positive,neutral,positive -> neutral
the puppy shall loose his um... manly parts today  poor guy....,negative,neutral,negative -> neutral
sooo glad im home  floridia was fun!! back in ATL. time to sleep....then back up to work!!! constant grind.,positive,neutral,positive -> neutral
 rob got lucky that game he beat me 209-205,positive,neutral,positive -> neutral
lapit na ko magout. lapit na fated to love you.hehe  http://plurk.com/p/rrj4e,neutral,positive,neutral -> positive
"sitting in katies house with jo, the other two are away doing stuff, and i have swine flu  and bronchitis but thats a diff story.",negative,neutral,negative -> neutral
 Molly was born on my birthday!!!! *cue twilight zone music*,positive,neutral,positive -> neutral
nothings better then going out for chinese at the supperinn with ma fave cousins at 1am,positive,neutral,positive -> neutral
 I KNO I SHOULDA CAME,neutral,negative,neutral -> negative
 don`t know  and no not at all,negative,neutral,negative -> neutral
"Sighs, well I accidentally clicked back space on my mouse",negative,neutral,negative -> neutral
so bryan was at the sweet 15 and i didnt think we were gonna talk but towards the end of the night we talked,positive,neutral,positive -> neutral
" bahaha, BOF? you`ve gotta get a life... although i can`t say much with my obsession with miley cyrus.. I`VE gotta get a life",positive,neutral,positive -> neutral
You know that `rule` that says always point the knife away from you? Just  learned my lesson on that one! Straight through my finger!,negative,neutral,negative -> neutral
" well if you`re ever headed back to the west coast, hit me up. I have a tiny place, but we can hack and hang out at the beach",positive,neutral,positive -> neutral
omg supernatural is on after good news week,neutral,positive,neutral -> positive
"pavement is boiling hot out there, dogs were limping.    guess summer`s officially here.",negative,neutral,negative -> neutral
_cupcakes  sometimes plugging it into 240 can fix problems..,positive,negative,positive -> negative
Off to the gym by myself!  no fun!,negative,neutral,negative -> neutral
"Just FYI, there is also turkish star wars rip off  here http://bit.ly/AeSnk",negative,neutral,negative -> neutral
got a super cold!,positive,neutral,positive -> neutral
 so I tried jumping without the trampoline and its like thud* thud*  shouldn`t have eaten that cookie.  http://myloc.me/1XIz,neutral,negative,neutral -> negative
working!   I am so ready to go.,positive,neutral,positive -> neutral
"i think i just about have all my info syncing properly between my mac, mobile me, and iphone. yay! finally",positive,neutral,positive -> neutral
"  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?",negative,neutral,negative -> neutral
No gas PLUS no money = Desperation!!!   and that`s the word of the day!  http://twitpic.com/66zls,negative,neutral,negative -> neutral
_Escobar some people seem to be getting over it pretty quick  and the guys to me didn`t seem to care,neutral,negative,neutral -> negative
i dont want the seniors to leave,positive,neutral,positive -> neutral
i have poop on my shirt and a insanely cracked screen on my iphone. daaaang.,negative,neutral,negative -> neutral
"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection.",negative,neutral,negative -> neutral
Ocean sounds cd,neutral,positive,neutral -> positive
Stuck on NJ Transit for the past twenty minutes. Great way to start the week,neutral,positive,neutral -> positive
wish i can be with her every day,neutral,positive,neutral -> positive
"@_iDANCE19 well yes lol ..  i had a chat with them earlier , there just not willing to learn anything else",neutral,positive,neutral -> positive
"Just an observation: Aside from the riverwalk, there are pretty much no cute girls in downtown sa",neutral,positive,neutral -> positive
is cheering on the Arsenal Ladies!!    and missing my M...x,neutral,negative,neutral -> negative
My best mate found out that I am moving. She doesn`t understand I wanna do something with my life; Leaving to go to Uni..,negative,neutral,negative -> neutral
 mothers day pak...,neutral,positive,neutral -> positive
'dream of a better world because it`s coming' -someone could live off of those words dude,positive,neutral,positive -> neutral
 I look forward to having one very soon,positive,neutral,positive -> neutral
I am loving this sunshine and hating the thought of my office without windows,neutral,negative,neutral -> negative
why does my body decide NOW is a good time to wake up every morning at 8?! Maybe Dean will wait for me in my dreams...,positive,neutral,positive -> neutral
Dropping my mum at the station   I`ll miss u mum,negative,neutral,negative -> neutral
I`ve got a dentist`s appointment soon!  The drill feels like I`ve got my brain in a blender - not looking forward to it,negative,neutral,negative -> neutral
- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!,neutral,positive,neutral -> positive
 yes 7.50 here thanks for the change obama. I have to start mail ordering again,neutral,positive,neutral -> positive
 and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about it,neutral,positive,neutral -> positive
is not sleeping because he has paperwork to do.,neutral,negative,neutral -> negative
I really wish i would hear from josh,neutral,positive,neutral -> positive
touchin the starss,neutral,negative,neutral -> negative
I am the queen of losing things. Important things like keycards and bus passes.,neutral,negative,neutral -> negative
 No I haven`t had chance to watch that yet...going to have to get hold of it.   Thanks for the tip.,positive,neutral,positive -> neutral
 awww my trini no esata bien bendito  too bad i cant fly in and make u feel better,neutral,negative,neutral -> negative
"SPGridView is looking prettier, but I`m pretty sure my code is very ugly.",neutral,positive,neutral -> positive
: Am getting upset listening to the say now  I want to speak to you Mitchel but my darn phone got no money on x,negative,neutral,negative -> neutral
 OMG you aren`t online. Shock horror.,negative,neutral,negative -> neutral
Morning tweeple,positive,neutral,positive -> neutral
I want it to rain today! Like full thunderstorm style! But it probably won`t,positive,neutral,positive -> neutral
Doing my fieldwork databook. Slept awkwardly. Bones all sore.,negative,neutral,negative -> neutral
 I don`t get it...,neutral,negative,neutral -> negative
will be lonely for 4 days because  will be in baguio.   http://plurk.com/p/x2apl,negative,neutral,negative -> neutral
_1   is leavin bc of racists *starts cryin*,negative,neutral,negative -> neutral
Oh no! I just read they are going to do a remake of Girls Just Wanna Have Fun   Stop it hollywood-just stop!,negative,positive,negative -> positive
"Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!",neutral,positive,neutral -> positive
 eeeeeeeeeeeeee i jealous sia i didnt get to seee,negative,neutral,negative -> neutral
_storm lucky! I`m still working for another 4 hours!,positive,neutral,positive -> neutral
  you don`t love me anymore!,negative,positive,negative -> positive
up and reading the (maltese) sunday newspaper over coffee... Aaaah.. Glorious Sundays,positive,neutral,positive -> neutral
" *Hand up* Me, I`m going  #localgovcamp",neutral,negative,neutral -> negative
"_sko next time just go online and show the club owner an ean golden video, hahaha...  (i am fan, did i mention that?! )",positive,neutral,positive -> neutral
 carnivalsofparis i think i still have yours on my bl but i`m not sure... i hardly talk to anyone anymore,negative,neutral,negative -> neutral
" and yet i couldnt get a pic it wasnt allowed, then i won passes to their carpet of the 3d premiere no pic still wit them",positive,neutral,positive -> neutral
 WOOOOOOOOOO   are you coming to Nottingham at any point?  lovelovelove<3,positive,neutral,positive -> neutral
"Oh hey, look, North Korea are going to kill us all; or at least some of us.",negative,neutral,negative -> neutral
 awwww  bew! you wont be here at all this summer?,neutral,negative,neutral -> negative
"KERI HILSON- SLOW DANCE ROCKIN` THE **** OUT OF MY PLAYLIST RIGHT NOW! GET UP ON THIS SONG, PURE **** DROPPER",positive,neutral,positive -> neutral
"7 hours and many massages later, I can now spend time with my wife and son. It`s mother`s day ya`ll. Don`t forget to grab a gift or card.",neutral,positive,neutral -> positive
 i thght i voted bt i dnt think it workd!  Whats the link 2 vote for u! Nobody deserves it more than u do. Ur so talented. I<3U,positive,neutral,positive -> neutral
Sitting at the Connection listening to the employees reminisce and mope about their last shift,negative,neutral,negative -> neutral
"Okay, this weather isn`t 'cute sundress' friendly. I dont get how it could be so warm one minute and cold the next. I was freezing",neutral,negative,neutral -> negative
 lucky kid...i so wanna see loserville  pity im in oz....,positive,negative,positive -> negative
I have to start eating healthy,positive,neutral,positive -> neutral
Downtown drinking celebrating the cavs victory!!!,positive,neutral,positive -> neutral
" yes the new one, I adore both though  who doesn`t love Vincent!!!",neutral,positive,neutral -> positive
woo hoo its friday!! ....wait.... i have to work at the cleaners tomorrow.,positive,neutral,positive -> neutral
time to go swimming in the freezing water at kalies. yeah!,positive,neutral,positive -> neutral
is liking this feeling,positive,negative,positive -> negative
back from lunch and it`s pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!,positive,negative,positive -> negative
New pickkshaa! If it`s really big then it looks MILKY!  YAAAY!,positive,neutral,positive -> neutral
" you seem desperate,that says probly enough",negative,neutral,negative -> neutral
 I miss you too.  We`ll have to get together once everything settles down in a few weeks.  Congrats on the house!,positive,negative,positive -> negative
" LOL. dood, i love you and miss you.",neutral,positive,neutral -> positive
"Dear Daniel, good news from Nintendo! They want you as a potential Lotchecktester! Hoffentlich wirds was mit der Stelle",positive,neutral,positive -> neutral
"but i didnt  krystal spent the night last night..i dnt think i posted that. but ya, we laughed a lot. SQUIRREL! & HOUSE! new inside jokes.",positive,neutral,positive -> neutral
 isn`t a bit of little britain in all of us?,neutral,negative,neutral -> negative
I stung myself with stinging nettles all down my shin,neutral,negative,neutral -> negative
"I am going to work than, ill be home, and im going to look for my camera since it must be lost in my house. everyone have a wonderful day",positive,negative,positive -> negative
First time in my live that i got a little pop up on the taskbar saying that one of my files was corrupt and I needed to run chkdisk,neutral,negative,neutral -> negative
"The sun just came out!!! Pray for me guys!!!  Writing skills test   No pass, no class, no graduate -.-",neutral,negative,neutral -> negative
 I can`t really say much because none of it is set in stone.. but I`m planning a charity concert for Cystic Fibrosis,neutral,negative,neutral -> negative
 YES!! I wanna come hang out with my H-TOWN gurl u know whats up!! haha  it`ll be bangin! We gotta hang out chick,positive,neutral,positive -> neutral
"_illustrated Me Too! Its hard to argue w/ him `cause he makes some great points, i just can`t wrap my heart around that one",neutral,negative,neutral -> negative
OMG disco is PACKED!!!,neutral,negative,neutral -> negative
That **** money sign. Ugh.,neutral,negative,neutral -> negative
 I submitted my resume the same day and saw no answer back. Oh well...,negative,neutral,negative -> neutral
   Delays/cancellations really bite. Have had my fair share and can sympathize. Hang tough!,neutral,negative,neutral -> negative
 The stuff I got was precariously close to ricotta cheese. It didn`t help.,neutral,negative,neutral -> negative
 & i are lucas till & david henrie lovers. both boys are very cute  but  you can have lucas & ill have henrie  DEAL,positive,neutral,positive -> neutral
listening to music...feeling kind of down,negative,positive,negative -> positive
 whoa!! hahaha! wee going there in a bit! just watching Hugh Jackman`s interview at Oprah.,positive,neutral,positive -> neutral
"is having a well-deserved break today..NO PHONE CALLS, NO EMAILS..only plenty of catch up movies to doooooo",positive,neutral,positive -> neutral
another bday w a special friend,positive,neutral,positive -> neutral
 I`m at work,neutral,negative,neutral -> negative
http://www.eabeauty.net - The world of beauty and pretty girls   I`m testing new version,neutral,positive,neutral -> positive
 I totally did go! and he was AMAZING. He`s is the reason I bought the tix. He only did 3 songs. But Blood Bank was 1.,positive,neutral,positive -> neutral
enjoying lazying around eating roses chocolates  x,positive,neutral,positive -> neutral
" - u aint lost me, i`m right here",neutral,negative,neutral -> negative
Looking for a new laptop battery. Why are they so expensive??,neutral,negative,neutral -> negative
oh dear! gareths b-day 2moro all my girlfriends are abroad  lucky niamh is coming home 2moro poor gareth has 2 listen 2 me talk all day,neutral,negative,neutral -> negative
" My music teacher either expired or forgot about my lesson, leaving me outside waiting for my ride to pick me up for 1 hour.",negative,neutral,negative -> neutral
oh man had great nap (still alittle tired) having pizza for dinner.,neutral,negative,neutral -> negative
"Just funny sitting here with external keyboard, mouse, and macbook on bed  just looks strange but it`s comfortable",positive,neutral,positive -> neutral
" yeah, totally unfair.  we should just. FLAME THEM EVERYWHERE",negative,neutral,negative -> neutral
"NOOOOO! serena and darrian don`t remember each other, and i`ve been waiting all day to see them confess their love",neutral,positive,neutral -> positive
"  haha, i was crying  ****",negative,neutral,negative -> neutral
 i posted it! let me know what you think? theres a really cute cut out in the back too.,positive,neutral,positive -> neutral
" I spoke too soon  Still a nice evening, but lots of broken cloud coming in from the south.",neutral,positive,neutral -> positive
 The link doesn`t work,negative,neutral,negative -> neutral
 ditching out again?  you will be missed. I wish my ruby boys would represent.,neutral,negative,neutral -> negative
finally get my hands on my laptop!  just ate the biggest burrito de asada EVER  and now im gonna get ready for the party-ooo!,neutral,negative,neutral -> negative
" i can`t listen to music at work  I probably could try, but then i`ll have to start hunting for a new job on monday",negative,neutral,negative -> neutral
 hope y`all enjoy the MusicBoat Cruise.  What a tough job - haha!!!,neutral,positive,neutral -> positive
Battery is going to die!,neutral,negative,neutral -> negative
 following 865 and followers 539...not nice,negative,positive,negative -> positive
"whaaay, first day on my own tomorrow. this should go well",positive,neutral,positive -> neutral
"I`m in tantra, anyone from kirki will know how sad this is, I`m drowning my sorrows ;)",neutral,negative,neutral -> negative
trying to finish my ****-ignment.please god help me to finish it,negative,positive,negative -> positive
talking on the phone with someone I`ve missed a lottt.,negative,neutral,negative -> neutral
6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful weekend,neutral,positive,neutral -> positive
_com Ohhh got it. It`s the 8830 I think  I miss the Pistons  I really hope Joe D cooks up something big!,neutral,negative,neutral -> negative
Beautiful sunshine when I woke up  but litterally 2 minutes later it starts to rain! I must be cursed.,negative,neutral,negative -> neutral
 i can so sympathise with that,negative,neutral,negative -> neutral
bout tuh head out an find sum wher tuh go an chill,positive,neutral,positive -> neutral
"Shite night, tomorow, I get to hang out with my little brother and neice, should be sufficient enough to change my mood",positive,neutral,positive -> neutral
"just got back from the ER... i cut myself while trying to cook a nice lunch  3 stiches on my right index finger, talk about ouchie",negative,positive,negative -> positive
its impossible to watch in full ANY flash video with my mac after 5.7,negative,neutral,negative -> neutral
 So ur moomie liked the Pandora? you can buy me one next lol,positive,neutral,positive -> neutral
Done with classes and packing for the atlanits!! I hope miley`s there,neutral,positive,neutral -> positive
 you`re so lucky. we have 6 weeks until summer,positive,neutral,positive -> neutral
forgot the montel quote  and it was a good one..,neutral,positive,neutral -> positive
I can`t help it if I`m a GRAMMAR NAZI!,neutral,negative,neutral -> negative
 do u hav a garden? bunny probs r decidedly uncool.   thanks 4d link!,neutral,positive,neutral -> positive
I`m at the anime store iat rivercenter going crazy at all the Pokemon stuff. I wish I had money,neutral,negative,neutral -> negative
I am having the TIME of my LIFE,neutral,negative,neutral -> negative
at homee..boring but its okiee gonna see the boyfriend and his momma tomorrow for momma dayy,neutral,negative,neutral -> negative
" Nerves I think, Im not sure",neutral,negative,neutral -> negative
 I know what appeals to you with knitting! Believe me I KNOW!,positive,neutral,positive -> neutral
http://twitpic.com/674p1 -  this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt,negative,neutral,negative -> neutral
is still waiting.,negative,neutral,negative -> neutral
 i need a hug i dnt feel so good,positive,negative,positive -> negative
 guessing... Ran 4 miles & gym? Superman you  oxox,positive,neutral,positive -> neutral
  ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya,positive,neutral,positive -> neutral
Phew long day and i havent gotten to work yet,negative,neutral,negative -> neutral
shattered! PWG botched his hybrid dolphin shirt order and sent him xl,negative,neutral,negative -> neutral
"Yup, I`m pretty sure summer could not have started off any better than the one this year",positive,neutral,positive -> neutral
I want it NOW..  finally found what I wanted ..,positive,neutral,positive -> neutral
"riding daddy`s bike (yes a man`s bike, very convenient! NOT) in the dark without glasses on. i was scared  but i survived HAHA",negative,neutral,negative -> neutral
Oowweee!!! China club wuz poppin!!! Lipstic n Pumps were in full effect!,positive,neutral,positive -> neutral
it`s friday! trying to find something to do,positive,neutral,positive -> neutral
"Am in the place called 0UT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI",negative,neutral,negative -> neutral
"En route to Minnebron, where cell reception is notoriously unreliable. Until I tweet again, have a great day yall",neutral,positive,neutral -> positive
" yes, i found you! come to greenville. perfect weekend for pictures and no sidekick to go shooting with",positive,neutral,positive -> neutral
Just got off the phone with lainey the love of my life  . . . Now im taken a ****,negative,neutral,negative -> neutral
 small? we cant choose?,neutral,negative,neutral -> negative
_Kay2 welcome to Twitter babes! I know what you mean...still trying to figure this out,positive,neutral,positive -> neutral
"? Polly Scattergood`s new single out today! Download the Please Don`t Touch EP on iTunes, it`s ace!  http://tr.im/kpK8",positive,neutral,positive -> neutral
    the hills is gunna be so different!! gl with your designing etc.,positive,neutral,positive -> neutral
" I`ll be right over, save me a slice",neutral,positive,neutral -> positive
gawd the rain is too strong,negative,neutral,negative -> neutral
" If you`ve jailbroken or went to 3.0 early, prepare to be bricked",negative,neutral,negative -> neutral
"nyc placements have started to come out, but it looks like upgrades might have to wait yet another two weeks for placements! dreadfully",negative,neutral,negative -> neutral
Anybody to have good tips for budget lodging in Tokyo?,neutral,positive,neutral -> positive
 Hey Ruthie girl... u send me all these lovely twitts but never respond!  I`m hurt... how`s Mikey and Dion?,neutral,negative,neutral -> negative
Spent the night finally relaxing with Nogard on WoW after finishing some work Needed to take a small break from art. I really missed this,negative,neutral,negative -> neutral
Sickkkk  ....and I need 11/20--NOW.,negative,neutral,negative -> neutral
 don`t make me smite you! and yeah  yeah it really does. No cuties for me,negative,neutral,negative -> neutral
I am usually more creative on Mother`s Day but lately I have not been feeling creative. O.K.. Good Night.  uh Morning...,neutral,positive,neutral -> positive
"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON`T QUIT! It`s not worth it",neutral,negative,neutral -> negative
 but yeah i like purple maybe thats why!! ;)  :p :d,positive,neutral,positive -> neutral
" 07 !!! It`s bloody quick,, even my gran could drift it   http://twitpic.com/4ja93",neutral,negative,neutral -> negative
" off to bed with fingers and toes and everything crossed u pick me-lol! Hope ur well and got back safe,poor Jon  ****",neutral,positive,neutral -> positive
 thanks for teaching me how to play a part of that song,positive,neutral,positive -> neutral
has made up her mind.....,neutral,negative,neutral -> negative
 was able to create an iTunes acct but can no longer redeem the Kris Allen album. note said it got canceled,negative,neutral,negative -> neutral
 yes2 bgt! if everything goes well i`ll catch their reunion concert,neutral,positive,neutral -> positive
"Hahaha  yes dey dooo, BOSTON Legal  tha fat old man is funny, tha one that was naked ina pink gown Lol",neutral,positive,neutral -> positive
 What time you close today? Is it the last day today or tmr? I may shed a tear,negative,neutral,negative -> neutral
missin my bro..,negative,neutral,negative -> neutral
on no bsg might just have made me cry,negative,neutral,negative -> neutral
 I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,neutral,positive,neutral -> positive
I should be in NYC right now with some of my favorite people but instead I am stuck in RI.,neutral,negative,neutral -> negative
I wish I had a concept of what time it is right now....  not adjusting well. Obvs.,neutral,negative,neutral -> negative
Going off BC is making me break out.,negative,neutral,negative -> neutral
 why r y depressed?  i mite b moving earlyer than i thot,neutral,negative,neutral -> negative
 My husband is loosing his GOVERMENT job due to downsizing-he is looking for a new job but can`t find one in our small town,negative,neutral,negative -> neutral
" I`m having exactly the same day you are, man. Just buried over here  #FollowFriday",negative,neutral,negative -> neutral
 OMG!! that is tragic!,neutral,negative,neutral -> negative
" Woot freaking hoo, tho Mad World isn`t doing well on the iTunes top #100 chart.",positive,neutral,positive -> neutral
 it would be so fun.  too much to do.  not enough time or money.,neutral,negative,neutral -> negative
"Oh yeah, Radio1 is SO playing Earth, Wind and Fire",positive,neutral,positive -> neutral
misses home on the farm,negative,neutral,negative -> neutral
I am down  I need my snuggles but he is at work and he don`t like to snuggle  ironic huh...,neutral,negative,neutral -> negative
" Geez sorry to hear Steph, I hope things improve soon. I know that ain`t much sorry",neutral,negative,neutral -> negative
Is constantly listening to the  song Fly with Me...b/c it`s the cutest song...'Peter Pan & Wendy turned out fine',positive,neutral,positive -> neutral
  YOU`RE FAKING IT! Hahaha...I kid.,negative,positive,negative -> positive
loving that spring definitely seems to be here now,positive,neutral,positive -> neutral
Im so full. Subway was bomb! Waiting for my 2nd shift to start,positive,negative,positive -> negative
I can`t think of a way to express in 140 chars how disspointed I am with the advertising on Lifehacker`s Why I Didn`t Buy A Mac article.,negative,neutral,negative -> neutral
" haha yeah this is improving my nite big time!!  i have to make a skype call soon tho, so will have to tear myself away..",positive,neutral,positive -> neutral
Having fries plus greentea. Mmm  - http://tweet.sg,positive,neutral,positive -> neutral
 There`s nothing good on tonight anyway!!   #Sigjeans,negative,positive,negative -> positive
Ugh 3 more hours,neutral,negative,neutral -> negative
Im craving some cinnamon toast crunch. Why is it so cold today!!,negative,neutral,negative -> neutral
" Dude you`re always going to midnight screenings! xD. I wish I lived in a city. Well, I do (until tmrw!) but it`s rubbish",neutral,negative,neutral -> negative
 Yep- same here. I have to be in the mood 4 it.,neutral,negative,neutral -> negative
 Hi Miss.  Isabelle here. :],neutral,negative,neutral -> negative
Well that just sucks. Good way to make me feel bad,neutral,negative,neutral -> negative
_aka_Rowan he could be talking to me  (he`s probably not though ;) ),negative,neutral,negative -> neutral
 most likelyy. Just need to save the money and practice my **** off.,positive,neutral,positive -> neutral
Is sad clint hurdle got released. I liked him,neutral,negative,neutral -> negative
 i think i`ll be home more than i want to be next week - no work booked in for the forseeable.,positive,neutral,positive -> neutral
Just reached my Cellgroup leader`s house and he is surprised that I`m dry. Haha.  - http://tweet.sg,negative,neutral,negative -> neutral
YES!  I have my e-mail down to one window (most of which are marked for follow-up on Monday).  all the dang paper still here tho,neutral,negative,neutral -> negative
" noboby`s behind. I think I lead with $14,8 so far",positive,neutral,positive -> neutral
" Sure is rainy! the storm has left everything, everywhere...  would love 4 u 2 follow us",neutral,positive,neutral -> positive
 hahaha. I think you`re pretty far from me. Maybe next time though,neutral,positive,neutral -> positive
_navarro I wish this area offered chinese food delivery,positive,neutral,positive -> neutral
"like spirits in the night ooooh night, quï¿½ grande ere mr. springsteen",positive,neutral,positive -> neutral
 thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here,negative,positive,negative -> positive
_ I wish you were here NOWWW!!! grrrrrrr,negative,positive,negative -> positive
 You still have class? Ouch,negative,neutral,negative -> neutral
 so see you on my birthday visit me  haha why wack Saturday ?,positive,neutral,positive -> neutral
Going for a ride! Perfect night to go out and chill,positive,neutral,positive -> neutral
is going to help lancey cook,positive,neutral,positive -> neutral
Goodnight all! No iPod still but found my old MP3 player...we`ll see how long it holds out for.  ****,positive,neutral,positive -> neutral
Spending QT with the hubby,positive,neutral,positive -> neutral
 and movies too!!!,neutral,negative,neutral -> negative
" awe I am sorry, probably true.",positive,negative,positive -> negative
One downside of the nice weather: It brings of the chavs...,negative,positive,negative -> positive
Just found out one of my coworkers that I actually like is leaving.,negative,neutral,negative -> neutral
havent been on here in ages  sorry twitter.. tweetdeck is broken,positive,negative,positive -> negative
 *bows*  I try...sometimes it is hard,negative,neutral,negative -> neutral
_Guy Iï¿½m afraid yes - both are true  I hope u r not disappointed yet,negative,neutral,negative -> neutral
i am up - dont want to be though  wish i had slept in more heather woke me up. i`ve got to work later but first i will read some twilight!,negative,neutral,negative -> neutral
"the downside of getting TDL 3 days early is that i won`t have time to read it til next week anyway!  but still, hurrah *clutches it close*",positive,neutral,positive -> neutral
Trying to look up Iowa State Fair Art entry information. Hope to get a piece in this year and maybe win something or get noticed.,positive,neutral,positive -> neutral
 I sorry,positive,negative,positive -> negative
 I know.  I have such guilt associated with picking winners.,negative,neutral,negative -> neutral
 at the #manics gig.  Toasting your speedy recovery - sorry you can`t be here,neutral,negative,neutral -> negative
 if you were down the road from me you can bet i would be right there  #MMOT,neutral,positive,neutral -> positive
Market whn goes lower also problem and when it goes like a wild bull also problem,negative,positive,negative -> positive
"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",negative,neutral,negative -> neutral
Soooo high,neutral,negative,neutral -> negative
Ian is waiting for a very important pic,neutral,positive,neutral -> positive
 thought u said twitter was **** bellion?,negative,neutral,negative -> neutral
really really wants to go and see Coraline.,positive,neutral,positive -> neutral
holy smokes! star trek was freaking awesomeeeee,positive,neutral,positive -> neutral
Basil will be the highlight of my day. I`ve just had an old man lecture me on the greatness of the Telegraph. What an idiot,neutral,negative,neutral -> negative
 oh plzzzzz u never had time for me!!!,negative,neutral,negative -> neutral
Won a gps at post prom,positive,neutral,positive -> neutral
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,neutral,positive -> neutral
the sunset view is SO beautiful from my room!,positive,neutral,positive -> neutral
" oh, /me still hasn`t got around to starting it",neutral,negative,neutral -> negative
"I`m bored, extremely bored. in the car. waiting for my dad. and dinner. chinese. yummm.",neutral,negative,neutral -> negative
" Planet Fitness on Van Wyck, keep hearing all the homies tell me bout it, plus its close to the hood, u know my lazzzy ****!",negative,neutral,negative -> neutral
"I`ve knack my iphone, I got melted chocolate into the speaker, I now can`t hear it when it rings",neutral,negative,neutral -> negative
"Back at it after a weekend of working in the yard. Didn`t open the laptop once, and I`m thankful.",positive,neutral,positive -> neutral
